lng,lat,vari
-46.648465,-23.535538,4.12%
-43.20,-22.91,2.01%
-43.93,-19.91,4.49%
-47.93,-15.78,9.25%
-38.50,-12.97,3.27%
-38.54,-3.72,7.92%
-34.88,-8.05,4.82%
-51.21,-30.03,4.29%
-49.26,-25.42,13.98%
-48.55,-27.59,16.35%
-40.31,-20.32,22.45%
-49.26,-16.69,17.44%
-34.86,-7.12,8.73%
-36.79,-9.96,9.34%
-35.70,-9.67,17.93%
-60.02,-3.119,8.65%
-46.90,-23.51,10.73%
-47.07,-22.91,1.29%
-46.62,-23.68,7.68%
-46.30,-23.99,7.28%
-46.53,-23.45,6.67%
-46.79,-23.53,6.01%
-46.41,-24.01,9.53%
-47.81,-21.17,2.23%
-46.54,-23.67,6.12%
-46.30,-23.95,0.14%
-46.56,-23.69,4.68%
-46.55,-23.62,5.67%
-49.38,-20.81,5.35%
-45.88,-23.19,18.10%
-46.39,-23.96,1.53%
-44.20,-19.97,6.39%
-44.05,-19.93,11.94%
-51.17,-23.30,5.96%
-49.20,-25.53,6.95%
-51.19,-29.91,5.25%
-51.18,-29.16,7.21%
-51.13,-29.69,4.40%
-52.34,-31.76,9.44%
-53.81,-29.69,3.77%
-51.15,-29.75,0.98%
-43.10,-22.88,0.30%
-48.64,-26.99,23.72%
-49.07,-26.92,10.12%
-48.67,-26.91,23.58%
-48.62,-27.09,25.29%
-48.85,-26.30,10.88%
-48.64,-27.61,18.37%
-40.29,-20.34,23.63%
-35.02,-8.11,4.27%
